[2025-06-19 10:15:47,008] [INFO] MCP 'Kubernetes Resources Manager Server' initialized on 0.0.0.0:8000
[2025-06-19 10:16:41,193] [INFO] MCP 'Kubernetes Resources Manager Server' initialized on 0.0.0.0:8000
[2025-06-19 10:16:41,195] [INFO] Registered tool: get_nodes
[2025-06-19 10:16:41,195] [INFO] Total registered tools: 1
[2025-06-19 10:19:38,246] [INFO] kubectl_get took 0.05 seconds
[2025-06-19 10:19:38,246] [INFO] Kubernetes operation kubectl_get succeeded
[2025-06-19 10:19:38,246] [INFO] get_nodes took 0.06 seconds
[2025-06-19 10:19:38,246] [INFO] Kubernetes operation get_nodes succeeded
[2025-06-19 10:27:53,561] [INFO] Closing Libvirt Server...
[2025-06-19 10:27:54,983] [INFO] MCP 'Kubernetes Resources Manager Server' initialized on 0.0.0.0:8000
[2025-06-19 10:27:54,988] [INFO] Registered tool: get_nodes
[2025-06-19 10:27:54,988] [INFO] Registered tool: get_namespaces
[2025-06-19 10:27:54,988] [INFO] Registered tool: get_services
[2025-06-19 10:27:54,988] [INFO] Registered tool: get_pods
[2025-06-19 10:27:54,988] [INFO] Registered tool: get_deployment_apps
[2025-06-19 10:27:54,988] [INFO] Total registered tools: 5
[2025-06-19 10:29:23,812] [INFO] kubectl_get took 0.05 seconds
[2025-06-19 10:29:23,812] [INFO] Kubernetes operation kubectl_get succeeded
[2025-06-19 10:29:23,812] [INFO] get_services took 0.05 seconds
[2025-06-19 10:29:23,812] [INFO] Kubernetes operation get_services succeeded
[2025-06-19 10:30:01,773] [INFO] kubectl_get took 0.05 seconds
[2025-06-19 10:30:01,773] [INFO] Kubernetes operation kubectl_get succeeded
[2025-06-19 10:30:01,774] [INFO] get_nodes took 0.05 seconds
[2025-06-19 10:30:01,774] [INFO] Kubernetes operation get_nodes succeeded
[2025-06-19 10:34:18,970] [INFO] Closing Libvirt Server...
[2025-06-19 10:37:13,431] [INFO] MCP 'Kubernetes Resources Manager Server' initialized on 0.0.0.0:8000
[2025-06-19 10:37:13,433] [INFO] Registered tool: get_resources
[2025-06-19 10:37:13,433] [INFO] Total registered tools: 1
[2025-06-19 10:40:27,265] [INFO] kubectl_get took 0.04 seconds
[2025-06-19 10:40:27,265] [INFO] Kubernetes operation kubectl_get succeeded
[2025-06-19 10:40:27,266] [INFO] get_deployment_apps took 0.04 seconds
[2025-06-19 10:40:27,266] [INFO] Kubernetes operation get_deployment_apps succeeded
[2025-06-19 10:40:47,699] [INFO] kubectl_get took 0.05 seconds
[2025-06-19 10:40:47,700] [INFO] Kubernetes operation kubectl_get succeeded
[2025-06-19 10:40:47,700] [INFO] get_deployment_apps took 0.05 seconds
[2025-06-19 10:40:47,700] [INFO] Kubernetes operation get_deployment_apps succeeded
[2025-06-19 10:41:25,509] [INFO] kubectl_get took 0.05 seconds
[2025-06-19 10:41:25,509] [INFO] Kubernetes operation kubectl_get succeeded
[2025-06-19 10:41:25,509] [INFO] get_namespaces took 0.05 seconds
[2025-06-19 10:41:25,509] [INFO] Kubernetes operation get_namespaces succeeded
[2025-06-19 10:41:55,301] [INFO] kubectl_get took 0.07 seconds
[2025-06-19 10:41:55,302] [INFO] Kubernetes operation kubectl_get(kube-system) succeeded
[2025-06-19 10:41:55,302] [INFO] get_pods took 0.07 seconds
[2025-06-19 10:41:55,302] [INFO] Kubernetes operation get_pods(kube-system) succeeded
[2025-06-19 11:01:55,473] [INFO] Closing Libvirt Server...
[2025-06-19 14:29:32,212] [INFO] MCP 'Kubernetes Resources Manager Server' initialized on 0.0.0.0:8000
[2025-06-19 14:29:32,214] [INFO] Registered tool: get_resources
[2025-06-19 14:29:32,214] [INFO] Registered tool: delete_resources
[2025-06-19 14:29:32,214] [INFO] Total registered tools: 2
[2025-06-19 14:57:08,903] [INFO] get_nodes took 0.06 seconds
[2025-06-19 14:57:08,904] [INFO] Kubernetes operation get_nodes succeeded
[2025-06-19 14:59:58,794] [INFO] get_services took 0.07 seconds
[2025-06-19 14:59:58,795] [INFO] Kubernetes operation get_services succeeded
[2025-06-19 15:00:34,901] [ERROR] Kubernetes operation delete_services exception: ResourcesDelete.delete_services() got an unexpected keyword argument 'service'. Did you mean 'services'?
[2025-06-19 15:01:49,066] [INFO] Closing Libvirt Server...
[2025-06-19 15:01:50,697] [INFO] MCP 'Kubernetes Resources Manager Server' initialized on 0.0.0.0:8000
[2025-06-19 15:01:50,699] [INFO] Registered tool: get_resources
[2025-06-19 15:01:50,699] [INFO] Registered tool: delete_resources
[2025-06-19 15:01:50,699] [INFO] Total registered tools: 2
[2025-06-19 15:02:15,818] [ERROR] Kubernetes operation delete_services exception: ResourcesDelete.delete_services() got an unexpected keyword argument 'services'. Did you mean 'service'?
[2025-06-19 15:02:43,534] [ERROR] Kubernetes operation delete_services exception: ResourcesDelete.delete_services() got an unexpected keyword argument 'services'. Did you mean 'service'?
[2025-06-19 15:03:06,248] [INFO] Closing Libvirt Server...
[2025-06-19 15:03:07,612] [INFO] MCP 'Kubernetes Resources Manager Server' initialized on 0.0.0.0:8000
[2025-06-19 15:03:07,614] [INFO] Registered tool: get_resources
[2025-06-19 15:03:07,614] [INFO] Registered tool: delete_resources
[2025-06-19 15:03:07,614] [INFO] Total registered tools: 2
[2025-06-19 15:03:49,912] [INFO] delete_services took 0.06 seconds
[2025-06-19 15:03:49,913] [INFO] Kubernetes operation delete_services(default) succeeded
[2025-06-19 16:00:44,988] [ERROR] [kubectl_get] Error running: Error from server (NotFound): services "ryrie-test" not found
[2025-06-19 16:00:44,989] [ERROR] [get_services] Failed to get services: Error from server (NotFound): services "ryrie-test" not found
[2025-06-19 16:00:44,989] [INFO] get_services took 0.06 seconds
[2025-06-19 16:00:44,989] [INFO] Kubernetes operation get_services(default) succeeded
[2025-06-19 16:11:54,189] [INFO] get_namespaces took 0.05 seconds
[2025-06-19 16:11:54,189] [INFO] Kubernetes operation get_namespaces succeeded
[2025-06-19 16:15:16,385] [INFO] get_pods took 0.05 seconds
[2025-06-19 16:15:16,385] [INFO] Kubernetes operation get_pods succeeded
[2025-06-19 16:16:57,830] [INFO] delete_pods took 0.94 seconds
[2025-06-19 16:16:57,830] [INFO] Kubernetes operation delete_pods(default) succeeded
[2025-06-19 16:44:37,117] [INFO] Closing Libvirt Server...
[2025-06-19 16:48:42,799] [INFO] MCP 'Kubernetes Resources Manager Server' initialized on 0.0.0.0:8000
[2025-06-19 16:48:42,802] [INFO] Registered tool: get_resources
[2025-06-19 16:48:42,802] [INFO] Registered tool: delete_resources
[2025-06-19 16:48:42,802] [INFO] Total registered tools: 2
[2025-06-19 16:48:45,835] [INFO] Closing Libvirt Server...
[2025-06-24 09:09:40,153] [INFO] MCP 'Kubernetes Resources Manager Server' initialized on 0.0.0.0:8000
